,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
4702,42482,Central America,20-Mar-16,2016,Mar,1.0,,1,,,1.0,,Vehicle Accident,"on the Manlio Fabio Altamirano highway, Soledad de Doblado, Mexico",Imagen de Veracruz,"19.056247700000, -96.381484400000",Central America to US,http://bit.ly/1swUOX2,Central America,1
4703,42508,Mediterranean,20-Mar-16,2016,Mar,2.0,,2,,,2.0,,Unknown,"Lesvos Island, Greece",IOM Greece,"39.209707825471, 26.517559644531",Eastern Mediterranean,http://bit.ly/1WBT5bT,Uncategorized,4
4704,42513,Middle East,20-Mar-16,2016,Mar,1.0,,1,,,1.0,,Extended Sickness,"Syrian/Turkish border, Khurbat al-Juz-Güveççi border crossing",Human Rights Watch,"36.703737700000, 36.623072100000",,http://bit.ly/1Wm8lNP,Western Asia,4
4705,42927,Central America,20-Mar-16,2016,Mar,1.0,,1,,,1.0,,Unknown,Pima County Jurisdiction,Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
4706,43165,Africa,20-Mar-16,2016,Mar,3.0,,3,,,,,Extended Sickness,"Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"15.501534100000, 32.502556100000",,,Northern Africa,2
4707,43166,Africa,20-Mar-16,2016,Mar,2.0,,2,,,,,Extended Sickness,"Gedharif (Al Qadarif), Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",,,Northern Africa,2
4708,43167,Africa,20-Mar-16,2016,Mar,5.0,,5,,,,,Extended Sickness,"Sinai desert, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"30.609673800000, 32.899326600000",,,Northern Africa,2
4709,43168,Africa,20-Mar-16,2016,Mar,1.0,,1,,,,,Extended Sickness,"Desert near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.459686000000, 30.665449400000",,,Northern Africa,2
4710,43169,Africa,20-Mar-16,2016,Mar,2.0,,2,,,,,Extended Sickness,"Qadarif (Al Qadarif), Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",,,Northern Africa,2
4711,43170,Africa,20-Mar-16,2016,Mar,21.0,,21,,,,,Extended Sickness,"Kufrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.248841300000, 19.724216100000",,,Northern Africa,2
